cluster index	parent mass	RTMean	ATTRIBUTE_condition:GNPSGROUP:trich	ATTRIBUTE_condition:GNPSGROUP:control	ATTRIBUTE_condition:GNPSGROUP:nan	ATTRIBUTE_condition_detailed:GNPSGROUP:trich_1	ATTRIBUTE_condition_detailed:GNPSGROUP:control	ATTRIBUTE_condition_detailed:GNPSGROUP:trich_2	ATTRIBUTE_condition_detailed:GNPSGROUP:nan
3333	1078.6327294378707	4.883804	2035844.8675	2415845.1		2476137.085	2415845.1	1595552.65	
3334	325.2011764304724	4.8849797	383652.4625	854598.675		767304.925	854598.675	0.0	
3335	261.10841572406247	4.895246	0.0	493535.475		0.0	493535.475	0.0	
3336	261.1102794177782	4.8962545	1843953.35	1464786.45		1718985.225	1464786.45	1968921.475	
3337	312.214727142003	4.903669	0.0	602714.95		0.0	602714.95	0.0	
3338	740.4074525359483	4.912402	944178.7	2326340.45		1413390.825	2326340.45	474966.57499999995	
3339	745.3629022432584	4.9136977	947898.6875	2573005.825		1628734.65	2573005.825	267062.725	
3340	262.2381275177506	4.9147954	13898858.3625	4182590.0		15886925.375	4182590.0	11910791.35	
3341	190.99346482532823	4.9093738	2277932.5125	1588900.0999999999		2366140.6	1588900.0999999999	2189724.425	
3342	262.23613024314267	4.920527	0.0	7990047.0		0.0	7990047.0	0.0	
3343	259.09710467701854	4.9246316	666603.9825	865694.415		753335.6625000001	865694.415	579872.3025	
3344	128.95116992152344	4.921581	697464.75125	733789.04		502221.5875	733789.04	892707.915	
3345	556.2758490725134	4.924273	362585.725	757469.925		725171.45	757469.925	0.0	
3346	169.97774753937355	4.8934383	1824254.775	1772076.8		1616559.3250000002	1772076.8	2031950.225	
3347	625.2554309361063	4.9268913	1061634.3987500002	214813.025		681744.2725	214813.025	1441524.5250000001	
3348	387.2355991737903	4.9275947	937462.0674999999	924793.7		941718.585	924793.7	933205.55	
3349	695.3260973810354	4.9074473	1029524.9624999999	1704925.55		1325729.5499999998	1704925.55	733320.375	
