id,area,rt,mz_range:min,mz_range:max,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,fragment_scans,charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:area,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:rt,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:mz,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:height,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:isotopes
52,1.604E5,2.2712,327.20145,327.20166,2.2364,2.3064,327.20148,6.179E5,5.492E6,5.492E6,2,,DETECTED,1.604E5,2.2712,327.20145,327.20166,0.0269,2.2364,2.3064,327.20148,6.179E5,5.492E6,1.043,1.0051,5.492E6,2,-0.0134,,
53,4.279E5,2.2712,344.228,344.22836,2.2364,2.333,344.22806,5.03E5,1.372E7,1.372E7,2,,DETECTED,4.279E5,2.2712,344.228,344.22836,0.027,2.2364,2.333,344.22806,5.03E5,1.372E7,1.1895,1.1308,1.372E7,2,-0.0221,,
54,1.131E5,2.4389,340.25949,340.25967,2.395,2.4743,340.25961,7.801E5,2.364E6,2.364E6,2,,DETECTED,1.131E5,2.4389,340.25949,340.25967,0.0503,2.395,2.4743,340.25961,7.801E5,2.364E6,0.806,0.903,2.364E6,2,-0.0289,,
55,5.415E5,2.4389,388.25357,388.25391,2.4127,2.5185,388.25371,5.099E5,1.919E7,1.919E7,2,,DETECTED,5.415E5,2.4389,388.25357,388.25391,0.0236,2.4127,2.5185,388.25371,5.099E5,1.919E7,2.0128,1.7269,1.919E7,2,-0.0137,,
56,1.315E5,2.5009,295.15714,295.15735,2.4743,2.5362,295.15722,6.743E5,4.901E6,4.901E6,1,,DETECTED,1.315E5,2.5009,295.15714,295.15735,0.0292,2.4743,2.5362,295.15722,6.743E5,4.901E6,1.4717,1.1665,4.901E6,1,-0.0116,,
57,5.786E5,2.5888,432.28033,432.28088,2.5628,2.6681,432.28043,5.413E5,2.277E7,2.277E7,2,,DETECTED,5.786E5,2.5888,432.28033,432.28088,0.022,2.5628,2.6681,432.28043,5.413E5,2.277E7,1.6664,1.5628,2.277E7,2,-0.011,,
58,1.79E5,2.6505,374.22021,374.2204,2.624,2.6948,374.2203,5.052E5,7.101E6,7.101E6,1,,DETECTED,1.79E5,2.6505,374.22021,374.2204,0.0247,2.624,2.6948,374.2203,5.052E5,7.101E6,1.6166,1.5793,7.101E6,1,-0.0048,,
59,5.258E5,2.7207,476.30433,476.30716,2.6948,2.7913,476.30661,5.159E5,2.159E7,2.159E7,2,,DETECTED,5.258E5,2.7207,476.30433,476.30716,0.0218,2.6948,2.7913,476.30661,5.159E5,2.159E7,1.5247,1.1979,2.159E7,2,-0.0133,,
60,3.829E5,2.7826,418.24652,418.24713,2.7652,2.8524,418.24666,5.042E5,1.374E7,1.374E7,2,,DETECTED,3.829E5,2.7826,418.24652,418.24713,0.0234,2.7652,2.8524,418.24666,5.042E5,1.374E7,1.9927,1.975,1.374E7,2,-0.0047,,
61,1.456E5,2.8176,453.34375,453.34406,2.7913,2.8524,453.34384,6.568E5,5.325E6,5.325E6,1,,DETECTED,1.456E5,2.8176,453.34375,453.34406,0.0264,2.7913,2.8524,453.34384,6.568E5,5.325E6,1.0319,1.1622,5.325E6,1,-0.0113,,
62,4.599E5,2.8349,520.33276,520.33325,2.8089,2.8967,520.33284,5.691E5,1.849E7,1.849E7,2,,DETECTED,4.599E5,2.8349,520.33276,520.33325,0.022,2.8089,2.8967,520.33284,5.691E5,1.849E7,1.6981,1.5511,1.849E7,2,-0.0111,,
63,6.536E5,2.9052,462.2728,462.27322,2.8791,3.0016,462.27294,5.756E5,2.512E7,2.512E7,2,,DETECTED,6.536E5,2.9052,462.2728,462.27322,0.0219,2.8791,3.0016,462.27294,5.756E5,2.512E7,1.9648,1.7343,2.512E7,2,-0.011,,
64,3.337E5,2.9403,564.35889,564.35931,2.9226,2.9929,564.35896,6.512E5,1.311E7,1.311E7,2,,DETECTED,3.337E5,2.9403,564.35889,564.35931,0.0226,2.9226,2.9929,564.35896,6.512E5,1.311E7,1.7888,1.7332,1.311E7,2,-0.0049,,
