id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:area,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:rt,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:mz,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:height,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:isotopes
874,2.664E5,11.5634,838.67334,838.67633,0,11.4758,11.7803,838.67528,5.223E5,1.231E6,1.231E6,,DETECTED,2.664E5,11.5634,838.67334,838.67633,,,0.2622,11.4758,11.7803,838.67528,5.223E5,1.231E6,2.4744,1.7372,1.231E6,,
875,1.055E5,11.5714,167.09282,167.09293,0,11.5315,11.5874,167.09287,8.767E5,2.587E6,2.587E6,,DETECTED,1.055E5,11.5714,167.09282,167.09293,,,0.0235,11.5315,11.5874,167.09287,8.767E5,2.587E6,0.4014,0.7007,2.587E6,,
876,1.029E5,11.5954,140.08192,140.08203,0,11.5794,11.6436,140.08198,9.762E5,2.392E6,2.392E6,,DETECTED,1.029E5,11.5954,140.08192,140.08203,,,0.0271,11.5794,11.6436,140.08198,9.762E5,2.392E6,3.0093,2.0047,2.392E6,,
877,9.384E4,11.6034,140.11824,140.11839,0,11.5794,11.6436,140.11835,8.435E5,2.105E6,2.105E6,,DETECTED,9.384E4,11.6034,140.11824,140.11839,,,0.0543,11.5794,11.6436,140.11835,8.435E5,2.105E6,1.6703,1.3352,2.105E6,,
878,5.249E4,11.6034,155.1292,155.12932,0,11.5794,11.6436,155.12926,5.16E5,1.18E6,1.18E6,,DETECTED,5.249E4,11.6034,155.1292,155.12932,,,0.1398,11.5794,11.6436,155.12926,5.16E5,1.18E6,1.6703,1.3352,1.18E6,,
879,2.811E5,11.6034,163.09787,163.09802,2,11.5794,11.6436,163.09796,9.33E5,6.484E6,6.484E6,,DETECTED,2.811E5,11.6034,163.09787,163.09802,2,-0.0041,0.048,11.5794,11.6436,163.09796,9.33E5,6.484E6,1.6703,1.3352,6.484E6,,
880,1.031E5,11.6034,167.1292,167.12935,0,11.5794,11.6436,167.1293,5.015E5,2.353E6,2.353E6,,DETECTED,1.031E5,11.6034,167.1292,167.12935,,,0.2717,11.5794,11.6436,167.1293,5.015E5,2.353E6,1.6703,1.3352,2.353E6,,
881,3.743E4,11.6034,200.09311,200.09335,0,11.5794,11.6356,200.09327,5.063E5,1.011E6,1.011E6,,DETECTED,3.743E4,11.6034,200.09311,200.09335,,,0.0409,11.5794,11.6356,200.09327,5.063E5,1.011E6,1.3354,1.1677,1.011E6,,
882,3.375E5,11.6115,815.599,815.60083,0,11.4758,11.8122,815.5998,5.463E5,1.664E6,1.664E6,,DETECTED,3.375E5,11.6115,815.599,815.60083,,,0.2164,11.4758,11.8122,815.5998,5.463E5,1.664E6,1.479,1.2395,1.664E6,,
883,6.459E4,11.6195,122.0715,122.07161,0,11.5794,11.6436,122.07156,5.669E5,1.555E6,1.555E6,,DETECTED,6.459E4,11.6195,122.0715,122.07161,,,0.046,11.5794,11.6436,122.07156,5.669E5,1.555E6,0.6013,0.8007,1.555E6,,
884,1.626E6,11.6195,124.08708,124.08722,3,11.5315,11.6436,124.08715,5.309E6,2.247E7,2.247E7,1,DETECTED,1.626E6,11.6195,124.08708,124.08722,3,-0.0613,0.181,11.5315,11.6436,124.08715,5.309E6,2.247E7,0.274,0.637,2.247E7,1,2
886,1.558E5,11.6195,126.10277,126.10287,0,11.5794,11.6436,126.10283,8.035E5,3.483E6,3.483E6,,DETECTED,1.558E5,11.6195,126.10277,126.10287,,,0.0269,11.5794,11.6436,126.10283,8.035E5,3.483E6,0.6013,0.8007,3.483E6,,
887,8.898E4,11.6195,128.11839,128.11858,0,11.5794,11.6436,128.11848,5.306E5,1.989E6,1.989E6,,DETECTED,8.898E4,11.6195,128.11839,128.11858,,,0.0557,11.5794,11.6436,128.11848,5.306E5,1.989E6,0.6013,0.8007,1.989E6,,
888,5.237E4,11.6195,134.07135,134.07153,0,11.5794,11.6436,134.07147,5.198E5,1.375E6,1.375E6,,DETECTED,5.237E4,11.6195,134.07135,134.07153,,,0.0453,11.5794,11.6436,134.07147,5.198E5,1.375E6,0.6013,0.8007,1.375E6,,
889,1.46E5,11.6195,135.07918,135.07932,0,11.5315,11.6436,135.07925,5.703E5,2.014E6,2.014E6,,DETECTED,1.46E5,11.6195,135.07918,135.07932,,,0.085,11.5315,11.6436,135.07925,5.703E5,2.014E6,0.274,0.637,2.014E6,,
890,1.809E5,11.6195,136.08701,136.08719,1,11.5794,11.6436,136.08709,9.606E5,4.335E6,4.335E6,,DETECTED,1.809E5,11.6195,136.08701,136.08719,1,0.005,0.0474,11.5794,11.6436,136.08709,9.606E5,4.335E6,0.6013,0.8007,4.335E6,,
891,8.144E4,11.6195,137.08224,137.0824,0,11.5794,11.6436,137.08232,7.496E5,1.823E6,1.823E6,,DETECTED,8.144E4,11.6195,137.08224,137.0824,,,0.0559,11.5794,11.6436,137.08232,7.496E5,1.823E6,0.6013,0.8007,1.823E6,,
