id,area,rt,mz_range:min,mz_range:max,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,fragment_scans,charge,datafile:20250402_PMA_tp24_000028_01_01.mzML:feature_state,datafile:20250402_PMA_tp24_000028_01_01.mzML:area,datafile:20250402_PMA_tp24_000028_01_01.mzML:rt,datafile:20250402_PMA_tp24_000028_01_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000028_01_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000028_01_01.mzML:fwhm,datafile:20250402_PMA_tp24_000028_01_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000028_01_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000028_01_01.mzML:mz,datafile:20250402_PMA_tp24_000028_01_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000028_01_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000028_01_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000028_01_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000028_01_01.mzML:height,datafile:20250402_PMA_tp24_000028_01_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000028_01_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000028_01_01.mzML:charge,datafile:20250402_PMA_tp24_000028_01_01.mzML:isotopes
33,2.065E6,0.3634,243.99693,243.99701,0.3315,0.395,243.99697,1.487E6,7.573E7,7.573E7,0,,DETECTED,2.065E6,0.3634,243.99693,243.99701,0.0264,0.3315,0.395,243.99697,1.487E6,7.573E7,1.0064,0.9994,7.573E7,,,,
34,8.374E6,0.3634,265.01559,265.01717,0.3315,0.395,265.01566,6.786E6,3.015E8,3.015E8,2,,DETECTED,8.374E6,0.3634,265.01559,265.01717,0.027,0.3315,0.395,265.01566,6.786E6,3.015E8,1.0065,1.0005,3.015E8,2,-0.0187,,
35,2.672E6,0.3634,266.0144,266.01712,0.3315,0.395,266.01694,2.083E6,1.013E8,1.013E8,0,,DETECTED,2.672E6,0.3634,266.0144,266.01712,0.0258,0.3315,0.395,266.01694,2.083E6,1.013E8,1.0109,1.0017,1.013E8,,,,
36,2.284E6,0.3634,267.01266,267.01291,0.3315,0.395,267.01286,1.806E6,8.295E7,8.295E7,0,,DETECTED,2.284E6,0.3634,267.01266,267.01291,0.0268,0.3315,0.395,267.01286,1.806E6,8.295E7,1.0083,1.001,8.295E7,,,,
37,1.287E6,0.3634,280.99304,280.99349,0.3315,0.395,280.99321,1.171E6,4.554E7,4.554E7,1,,DETECTED,1.287E6,0.3634,280.99304,280.99349,0.0275,0.3315,0.395,280.99321,1.171E6,4.554E7,1.0019,0.9948,4.554E7,1,-0.0017,,
38,4.799E5,0.3634,286.95837,286.95898,0.3315,0.395,286.95851,5.963E5,1.575E7,1.575E7,1,,DETECTED,4.799E5,0.3634,286.95837,286.95898,0.0325,0.3315,0.395,286.95851,5.963E5,1.575E7,0.9906,0.9957,1.575E7,1,0.0186,,
39,7.809E5,0.3634,309.97437,309.97488,0.3315,0.395,309.9745,7.264E5,2.608E7,2.608E7,1,,DETECTED,7.809E5,0.3634,309.97437,309.97488,0.0308,0.3315,0.395,309.9745,7.264E5,2.608E7,0.9846,0.9911,2.608E7,1,0.0095,,
40,3.322E5,0.3634,310.97276,310.97556,0.3315,0.3871,310.97548,6.416E5,1.098E7,1.098E7,0,,DETECTED,3.322E5,0.3634,310.97276,310.97556,0.0307,0.3315,0.3871,310.97548,6.416E5,1.098E7,1.0371,0.9979,1.098E7,,,,
41,2.7E5,0.3634,353.94653,353.94699,0.3315,0.3871,353.94693,6.662E5,9.003E6,9.003E6,0,,DETECTED,2.7E5,0.3634,353.94653,353.94699,0.0306,0.3315,0.3871,353.94693,6.662E5,9.003E6,1.0244,0.9917,9.003E6,,,,
42,1.208E6,0.3634,423.95456,423.9552,0.3315,0.3871,423.95511,6.226E5,4.447E7,4.447E7,1,,DETECTED,1.208E6,0.3634,423.95456,423.9552,0.0274,0.3315,0.3871,423.95511,6.226E5,4.447E7,1.0854,1.0178,4.447E7,1,-0.0029,,
43,1.623E6,0.3712,123.04054,123.04063,0.3315,0.4029,123.0406,7.293E5,6.023E7,6.023E7,1,,DETECTED,1.623E6,0.3712,123.04054,123.04063,0.0263,0.3315,0.4029,123.0406,7.293E5,6.023E7,0.5107,0.7627,6.023E7,1,-0.0119,,
44,3.072E5,0.3712,125.03811,125.03815,0.3397,0.395,125.03814,8.358E5,1.13E7,1.13E7,0,,DETECTED,3.072E5,0.3712,125.03811,125.03815,0.0266,0.3397,0.395,125.03814,8.358E5,1.13E7,0.4808,0.7611,1.13E7,,,,
45,3.467E5,0.3712,129.0199,129.02016,0.3315,0.395,129.02009,5.653E5,1.217E7,1.217E7,0,,DETECTED,3.467E5,0.3712,129.0199,129.02016,0.0274,0.3315,0.395,129.02009,5.653E5,1.217E7,0.5041,0.7608,1.217E7,,,,
47,1.675E5,0.3712,164.06694,164.06717,0.3397,0.395,164.06698,6.617E5,6.18E6,6.18E6,0,,DETECTED,1.675E5,0.3712,164.06694,164.06717,0.0276,0.3397,0.395,164.06698,6.617E5,6.18E6,0.507,0.8765,6.18E6,,,,
48,1.706E5,0.3712,181.98824,181.98859,0.3397,0.395,181.9883,6.792E5,6.116E6,6.116E6,0,,DETECTED,1.706E5,0.3712,181.98824,181.98859,0.0253,0.3397,0.395,181.9883,6.792E5,6.116E6,0.5103,0.8765,6.116E6,,,,
49,1.072E6,0.3712,257.97714,257.97729,0.3315,0.395,257.97724,1.066E6,3.775E7,3.775E7,1,,DETECTED,1.072E6,0.3712,257.97714,257.97729,0.0277,0.3315,0.395,257.97724,1.066E6,3.775E7,0.4787,0.746,3.775E7,1,-0.0029,,
50,3.205E5,0.3712,311.97064,311.97183,0.3315,0.3871,311.97163,6.784E5,1.062E7,1.062E7,0,,DETECTED,3.205E5,0.3712,311.97064,311.97183,0.0315,0.3315,0.3871,311.97163,6.784E5,1.062E7,0.5126,0.7493,1.062E7,,,,
51,3.33E6,0.3792,145.16988,145.17038,0.3555,0.6029,145.17007,5.761E5,1.358E8,1.358E8,2,1,DETECTED,3.33E6,0.3792,145.16988,145.17038,0.028,0.3555,0.6029,145.17007,5.761E5,1.358E8,1.4982,1.13,1.358E8,2,-0.004,1,2
53,2.25E5,0.395,212.84253,212.84351,0.3792,0.4429,212.84285,2.339E6,6.174E6,6.174E6,1,,DETECTED,2.25E5,0.395,212.84253,212.84351,0.0434,0.3792,0.4429,212.84285,2.339E6,6.174E6,3.018,2.009,6.174E6,1,0.0141,,
54,4.867E4,0.395,214.84021,214.84105,0.3792,0.4429,214.84054,5.446E5,1.358E6,1.358E6,0,,DETECTED,4.867E4,0.395,214.84021,214.84105,0.0412,0.3792,0.4429,214.84054,5.446E5,1.358E6,3.018,2.009,1.358E6,,,,
55,6.338E5,0.411,212.85187,212.8522,0.3792,0.4429,212.85204,9.917E5,2.083E7,2.083E7,1,,DETECTED,6.338E5,0.411,212.85187,212.8522,0.0347,0.3792,0.4429,212.85204,9.917E5,2.083E7,1.1766,1.1687,2.083E7,1,-0.0019,,
56,1.668E5,0.411,222.0285,222.02977,0.3871,0.4508,222.02931,5.084E5,6.038E6,6.038E6,0,,DETECTED,1.668E5,0.411,222.0285,222.02977,0.0271,0.3871,0.4508,222.02931,5.084E5,6.038E6,1.7935,1.1958,6.038E6,,,,
57,1.099E5,0.411,296.06552,296.06677,0.395,0.4508,296.06639,6.276E5,6.157E6,6.157E6,0,,DETECTED,1.099E5,0.411,296.06552,296.06677,0.0126,0.395,0.4508,296.06639,6.276E5,6.157E6,2.0066,1.7463,6.157E6,,,,
58,5.765E5,0.419,130.04993,130.05037,0.4029,0.5227,130.05012,7.495E5,1.728E7,1.728E7,1,,DETECTED,5.765E5,0.419,130.04993,130.05037,0.0267,0.4029,0.5227,130.05012,7.495E5,1.728E7,7.8825,3.1747,1.728E7,1,0.0142,,
59,1.727E5,0.419,134.0448,134.04529,0.4029,0.4986,134.04503,5.077E5,5.074E6,5.074E6,0,,DETECTED,1.727E5,0.419,134.0448,134.04529,0.0266,0.4029,0.4986,134.04503,5.077E5,5.074E6,4.4782,2.9883,5.074E6,,,,
60,7.868E5,0.419,139.91454,139.9151,0.4029,0.4587,139.91489,8.261E5,5.182E7,5.182E7,1,,DETECTED,7.868E5,0.419,139.91454,139.9151,0.0125,0.4029,0.4587,139.91489,8.261E5,5.182E7,2.4782,1.2321,5.182E7,1,0.0039,,
61,4.421E5,0.419,147.07635,147.07689,0.395,0.5227,147.07663,5.841E5,1.663E7,1.663E7,0,,DETECTED,4.421E5,0.419,147.07635,147.07689,0.014,0.395,0.5227,147.07663,5.841E5,1.663E7,4.3195,3.0674,1.663E7,,,,
62,1.967E6,0.419,148.06038,148.06088,0.4029,0.5708,148.06058,5.223E5,4.757E7,4.757E7,2,,DETECTED,1.967E6,0.419,148.06038,148.06088,0.0349,0.4029,0.5708,148.06058,5.223E5,4.757E7,7.2282,3.1144,4.757E7,2,-0.003,,
63,3.514E5,0.419,174.89603,174.89653,0.3871,0.4508,174.89624,9.13E5,1.281E7,1.281E7,0,,DETECTED,3.514E5,0.419,174.89603,174.89653,0.0252,0.3871,0.4508,174.89624,9.13E5,1.281E7,0.6825,0.8815,1.281E7,,,,
64,6.152E5,0.419,184.07332,184.07396,0.395,0.5708,184.07356,5.991E5,1.784E7,1.784E7,0,,DETECTED,6.152E5,0.419,184.07332,184.07396,0.0189,0.395,0.5708,184.07356,5.991E5,1.784E7,8.3626,4.5138,1.784E7,,,,
65,4.84E6,0.419,219.02654,219.02724,0.3871,0.5227,219.02677,5.685E5,2.202E8,2.202E8,2,1,DETECTED,4.84E6,0.419,219.02654,219.02724,0.0188,0.3871,0.5227,219.02677,5.685E5,2.202E8,2.323,2.027,2.202E8,2,-0.0041,1,2
67,3.306E5,0.419,221.02426,221.02519,0.4029,0.4666,221.02465,1.166E6,1.551E7,1.551E7,0,,DETECTED,3.306E5,0.419,221.02426,221.02519,0.0191,0.4029,0.4666,221.02465,1.166E6,1.551E7,4.3783,1.5587,1.551E7,,,,
68,4.057E5,0.419,249.03703,249.0377,0.4029,0.4826,249.03739,6.141E5,1.685E7,1.685E7,1,,DETECTED,4.057E5,0.419,249.03703,249.0377,0.0247,0.4029,0.4826,249.03739,6.141E5,1.685E7,3.0452,1.9929,1.685E7,1,0.0188,,
69,1.699E5,0.419,258.10956,258.11102,0.4029,0.4986,258.11013,5.394E5,5.073E6,5.073E6,0,,DETECTED,1.699E5,0.419,258.10956,258.11102,0.02,0.4029,0.4986,258.11013,5.394E5,5.073E6,9.7392,2.9883,5.073E6,,,,
70,2.972E5,0.419,279.04752,279.04849,0.395,0.4746,279.04803,6.897E5,1.367E7,1.367E7,0,,DETECTED,2.972E5,0.419,279.04752,279.04849,0.0162,0.395,0.4746,279.04803,6.897E5,1.367E7,3.0568,1.9661,1.367E7,,,,
71,2.63E5,0.427,204.08669,204.0883,0.411,0.4986,204.08684,5.483E5,6.42E6,6.42E6,0,,DETECTED,2.63E5,0.427,204.08669,204.0883,0.0405,0.411,0.4986,204.08684,5.483E5,6.42E6,3.8772,2.621,6.42E6,,,,
72,5.259E4,0.427,336.94894,336.94955,0.3871,0.4429,336.94917,5.373E5,1.744E6,1.744E6,0,,DETECTED,5.259E4,0.427,336.94894,336.94955,0.0266,0.3871,0.4429,336.94917,5.373E5,1.744E6,0.3992,0.6996,1.744E6,,,,
73,6.62E5,0.427,342.1395,342.1402,0.411,0.4986,342.13963,5.016E5,2.168E7,2.168E7,1,1,DETECTED,6.62E5,0.427,342.1395,342.1402,0.0391,0.411,0.4986,342.13963,5.016E5,2.168E7,2.439,1.9808,2.168E7,1,0.0039,1,2
75,1.319E6,0.427,455.11621,455.11768,0.4029,0.4906,455.11634,5.107E5,4.541E7,4.541E7,1,1,DETECTED,1.319E6,0.427,455.11621,455.11768,0.0547,0.4029,0.4906,455.11634,5.107E5,4.541E7,2.0767,1.677,4.541E7,1,-0.003,1,2
77,6.263E4,0.4349,134.08115,134.08156,0.411,0.4826,134.0814,5.006E5,1.633E6,1.633E6,0,,DETECTED,6.263E4,0.4349,134.08115,134.08156,0.0347,0.411,0.4826,134.0814,5.006E5,1.633E6,1.9893,1.4947,1.633E6,,,,
