id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_000022_01_01.mzML:feature_state,datafile:20250402_PMA_tp24_000022_01_01.mzML:area,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt,datafile:20250402_PMA_tp24_000022_01_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000022_01_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000022_01_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000022_01_01.mzML:fwhm,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000022_01_01.mzML:mz,datafile:20250402_PMA_tp24_000022_01_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000022_01_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000022_01_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000022_01_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000022_01_01.mzML:height,datafile:20250402_PMA_tp24_000022_01_01.mzML:charge,datafile:20250402_PMA_tp24_000022_01_01.mzML:isotopes
39,3.248E6,0.375,128.01949,128.01987,1,0.3354,0.4228,128.01953,7.935E5,1.102E8,1.102E8,,DETECTED,3.248E6,0.375,128.01949,128.01987,1,-0.0254,0.0302,0.3354,0.4228,128.01953,7.935E5,1.102E8,0.5202,0.7797,1.102E8,,
40,4.383E5,0.375,129.01926,129.02026,0,0.3354,0.3988,129.02015,1.604E6,1.592E7,1.592E7,,DETECTED,4.383E5,0.375,129.01926,129.02026,,,0.0276,0.3354,0.3988,129.02015,1.604E6,1.592E7,0.5164,0.8007,1.592E7,,
41,6.427E5,0.375,130.01703,130.01729,0,0.3354,0.4068,130.01707,6.868E5,2.228E7,2.228E7,,DETECTED,6.427E5,0.375,130.01703,130.01729,,,0.0279,0.3354,0.4068,130.01707,6.868E5,2.228E7,0.52,0.8377,2.228E7,,
42,1.318E5,0.375,141.0509,141.05124,0,0.3354,0.3988,141.05097,5.002E5,4.501E6,4.501E6,,DETECTED,1.318E5,0.375,141.0509,141.05124,,,0.0287,0.3354,0.3988,141.05097,5.002E5,4.501E6,0.5655,0.8007,4.501E6,,
43,2.815E5,0.375,143.99702,143.99734,0,0.3354,0.3988,143.99708,1.208E6,8.658E6,8.658E6,,DETECTED,2.815E5,0.375,143.99702,143.99734,,,0.0394,0.3354,0.3988,143.99708,1.208E6,8.658E6,0.5136,0.8007,8.658E6,,
44,2.399E5,0.375,151.02571,151.02789,0,0.3354,0.3988,151.02674,7.115E5,7.747E6,7.747E6,,DETECTED,2.399E5,0.375,151.02571,151.02789,,-0.0357,0.0314,0.3354,0.3988,151.02674,7.115E5,7.747E6,0.5271,0.8674,7.747E6,,
45,3.743E7,0.375,151.03535,151.03586,3,0.3268,0.4704,151.03542,6.313E5,1.158E9,1.158E9,,DETECTED,3.743E7,0.375,151.03535,151.03586,3,-0.0357,0.0368,0.3268,0.4704,151.03542,6.313E5,1.158E9,0.5179,0.8114,1.158E9,,
46,2.456E5,0.375,151.04485,151.04518,0,0.3354,0.3988,151.04504,1.096E6,8.596E6,8.596E6,,DETECTED,2.456E5,0.375,151.04485,151.04518,,-0.0357,0.0235,0.3354,0.3988,151.04504,1.096E6,8.596E6,0.5163,0.8007,8.596E6,,
47,5.706E6,0.375,152.03589,152.03687,0,0.3354,0.4307,152.03671,5.142E5,1.746E8,1.746E8,,DETECTED,5.706E6,0.375,152.03589,152.03687,,,0.0387,0.3354,0.4307,152.03671,5.142E5,1.746E8,0.5172,0.7797,1.746E8,,
48,5.95E6,0.375,153.03288,153.03343,0,0.3354,0.4466,153.03293,5.048E5,1.886E8,1.886E8,1,DETECTED,5.95E6,0.375,153.03288,153.03343,,,0.0348,0.3354,0.4466,153.03293,5.048E5,1.886E8,0.5194,0.7836,1.886E8,1,2
