id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:area,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:mz,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:height,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:isotopes
35,2.775E5,1.8746,139.98236,139.9825,2,1.831,1.9008,139.98245,2.707E6,5.448E6,5.448E6,,DETECTED,2.775E5,1.8746,139.98236,139.9825,2,-0.007,0.0524,1.831,1.9008,139.98245,2.707E6,5.448E6,0.6002,0.8001,5.448E6,,
36,1.881E5,2.0771,283.17493,283.1759,2,2.0155,2.1209,283.17502,5.274E5,3.529E6,3.529E6,,DETECTED,1.881E5,2.0771,283.17493,283.1759,2,-0.0467,0.0553,2.0155,2.1209,283.17502,5.274E5,3.529E6,0.6518,0.8558,3.529E6,,
37,2.339E5,2.0771,300.20145,300.20181,2,2.0155,2.1209,300.20163,5.977E5,4.408E6,4.408E6,,DETECTED,2.339E5,2.0771,300.20145,300.20181,2,-0.049,0.0572,2.0155,2.1209,300.20163,5.977E5,4.408E6,0.6717,0.8558,4.408E6,,
38,1.268E5,2.2003,286.21237,286.21255,2,2.1564,2.2444,286.21244,5.393E5,2.53E6,2.53E6,,DETECTED,1.268E5,2.2003,286.21237,286.21255,2,-0.029,0.0516,2.1564,2.2444,286.21244,5.393E5,2.53E6,1.004,1.002,2.53E6,,
39,8.541E4,2.2618,371.26501,371.26517,1,2.2356,2.2969,371.26509,6.028E5,2.911E6,2.911E6,,DETECTED,8.541E4,2.2618,371.26501,371.26517,1,-0.0036,0.0277,2.2356,2.2969,371.26509,6.028E5,2.911E6,1.3372,1.1686,2.911E6,,
40,1.448E5,2.2705,327.20117,327.20178,2,2.2444,2.3058,327.20122,7.208E5,5.163E6,5.163E6,,DETECTED,1.448E5,2.2705,327.20117,327.20178,2,-0.0112,0.0266,2.2444,2.3058,327.20122,7.208E5,5.163E6,1.0842,1.1744,5.163E6,,
41,4.116E5,2.2705,344.22769,344.22815,2,2.2356,2.3325,344.2278,5.65E5,1.341E7,1.341E7,,DETECTED,4.116E5,2.2705,344.22769,344.22815,2,-0.0222,0.0269,2.2356,2.3325,344.2278,5.65E5,1.341E7,1.2768,1.3967,1.341E7,,
42,1.058E5,2.4383,340.2594,340.25958,2,2.3946,2.4732,340.25948,7.74E5,2.284E6,2.284E6,,DETECTED,1.058E5,2.4383,340.2594,340.25958,2,-0.0285,0.0495,2.3946,2.4732,340.25948,7.74E5,2.284E6,0.7989,0.8994,2.284E6,,
43,4.982E5,2.4383,388.25345,388.25388,2,2.4123,2.5085,388.25358,6.256E5,1.89E7,1.89E7,,DETECTED,4.982E5,2.4383,388.25345,388.25388,2,-0.0133,0.0224,2.4123,2.5085,388.25358,6.256E5,1.89E7,2.0112,1.7894,1.89E7,,
44,1.349E5,2.4997,295.15723,295.15732,1,2.4732,2.5353,295.15726,6.857E5,4.989E6,4.989E6,,DETECTED,1.349E5,2.4997,295.15723,295.15732,1,-0.0049,0.0278,2.4732,2.5353,295.15726,6.857E5,4.989E6,1.4767,1.1709,4.989E6,,
45,5.563E5,2.5878,432.2803,432.28076,2,2.5617,2.658,432.28038,6.109E5,2.12E7,2.12E7,,DETECTED,5.563E5,2.5878,432.2803,432.28076,2,-0.0111,0.0229,2.5617,2.658,432.28038,6.109E5,2.12E7,1.8896,1.6931,2.12E7,,
46,1.735E5,2.6493,374.22009,374.22037,2,2.6229,2.6847,374.22019,6.716E5,7.216E6,7.216E6,,DETECTED,1.735E5,2.6493,374.22009,374.22037,2,-0.0114,0.0228,2.6229,2.6847,374.22019,6.716E5,7.216E6,1.597,1.4611,7.216E6,,
