row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20250402_PMA_tp24_000004_01_01.mzML Peak area,20250402_PMA_tp24_000008_01_01.mzML Peak area,20250402_PMA_tp24_000021_01_01.mzML Peak area,20250402_PMA_tp24_000022_01_01.mzML Peak area,20250402_PMA_tp24_000023_01_01.mzML Peak area,20250402_PMA_tp24_000024_03_01.mzML Peak area,20250402_PMA_tp24_000026_01_01.mzML Peak area,20250402_PMA_tp24_000027_01_01.mzML Peak area,20250402_PMA_tp24_000028_01_01.mzML Peak area,20250402_PMA_tp24_000029_01_01.mzML Peak area,20250402_PMA_tp24_000029_01_02.mzML Peak area,20250402_PMA_tp24_000031_01_01.mzML Peak area,20250402_PMA_tp24_000032_01_01.mzML Peak area,20250402_PMA_tp24_000033_01_01.mzML Peak area,20250402_PMA_tp24_000035_01_01.mzML Peak area,20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML Peak area,20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML Peak area,20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML Peak area,20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML Peak area,20250402_PMA_tp24_solanum_qc_00.mzML Peak area,20250402_PMA_tp24_solanum_qc_01.mzML Peak area,20250402_PMA_tp24_solanum_qc_02.mzML Peak area,20250402_PMA_tp24_solanum_qc_03.mzML Peak area,20250402_PMA_tp24_solanum_qc_04.mzML Peak area,20250402_PMA_tp24_solanum_qc_05.mzML Peak area,Unnamed: 38
41,296.9657099838288,0.36584446,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26618182.0,23808866.0,60512748.0,0.0,0.0,0.0,0.0,0.0,6344522.0,5197500.0,4162423.8,3683888.5,2556042.2,0.0,
42,130.966651305545,0.31566316,height,,,,,,,,,,,1213167.4,1332985.8,1194722.5,1091174.0,1144476.4,1289790.6,1016772.7,1117081.2,1335518.2,0.0,972742.2,4963267.0,5390816.0,5260862.5,1041141.1,985744.6,912526.7,1600850.0,1563914.5,1557829.6,1482024.8,1227191.0,1132666.6,885801.8,1017111.4,
43,158.96158600212195,0.3241106,height,,,,,,,,,,,10035603.0,10827128.0,10327868.0,8948948.0,9690881.0,10958475.0,8601221.0,9274391.0,10844061.0,11250212.0,8118854.5,33580028.0,38760036.0,38642544.0,8556957.0,8952814.0,8181425.0,12678688.0,12718432.0,12352110.0,11367168.0,10014314.0,9306304.0,7793238.0,8689745.0,
44,176.97217218559865,0.32157448,height,,,,,,,,,,,1398997.9,1505068.5,1388063.8,1228075.1,1358592.0,1495346.6,1185455.9,1290714.8,1593058.2,1598446.6,1148975.2,3533649.8,3574487.0,4169471.8,1194898.2,1142936.2,1161508.9,1759117.5,1851455.8,1837027.2,1666107.9,1426065.0,1344784.8,1049931.5,1128663.4,
45,186.95649296939504,0.31556034,height,,,,,,,,,,,1410301.8,1535840.1,1453633.1,1234280.1,1306982.0,1478880.2,1175904.1,1303295.5,1489064.9,1561447.2,1106423.2,4215789.5,5026453.0,5070327.0,1106520.2,1155394.6,1172062.9,1722159.5,1741172.1,1752570.0,1570940.6,1411298.8,1281266.5,1047009.0,1205197.2,
46,199.9880619273096,0.3117775,height,,,,,,,,,,,7187307.0,7341972.5,7151721.5,5871928.5,6558830.5,7179397.0,5693250.5,6548150.0,7612892.0,7721634.5,5331443.5,19098542.0,21735130.0,22673170.0,5658706.0,5742663.0,5600744.5,8307881.0,8477237.0,8716777.0,8482892.0,7014326.5,6321864.5,5183086.5,5633336.5,
47,276.89688313579813,0.31098405,height,,,,,,,,,,,635956.44,649124.75,595390.75,553081.1,574247.75,636090.44,585687.94,587704.7,657066.9,686474.25,0.0,26093126.0,30534166.0,22881700.0,0.0,0.0,0.0,759775.2,775729.4,793237.75,682149.8,604674.75,571071.6,0.0,0.0,
48,304.89234598666303,0.3710844,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16531667.0,19120712.0,14979357.0,0.0,0.0,0.0,0.0,546623.94,2608491.0,3334233.2,2290578.0,2181682.5,0.0,1794937.2,
49,151.0354284430505,0.36553687,height,,,,,,,,,,,1192704600.0,1156464300.0,1063173760.0,1141296900.0,1172162400.0,1099572100.0,1026558300.0,1172276600.0,943629100.0,1199450200.0,889990900.0,44486050.0,43743084.0,124316376.0,819959900.0,4035150.5,5937726.0,6501752.5,10337293.0,1170149500.0,978573800.0,1075716500.0,998153100.0,1007624400.0,918134100.0,
50,171.99309147034455,0.31199762,height,,,,,,,,,,,3506346.8,3843353.8,3414926.5,2906878.2,3156326.5,3496251.8,2848758.8,3154618.5,3699740.5,3843580.8,2675966.5,10152525.0,11024464.0,11409616.0,4632908.0,2862814.5,2736201.5,4351718.0,4165287.5,4218661.5,4188130.5,3436829.0,3202780.0,0.0,2775540.2,
51,125.9865075280784,0.36585212,height,,,,,,,,,,,113093300.0,99476360.0,85550920.0,47995824.0,36829944.0,54076616.0,72730410.0,73412070.0,85189160.0,58958616.0,94723310.0,3158460.0,4581574.5,2525821.0,154274860.0,4743059.0,5354486.5,6257882.0,6241515.5,77398580.0,65548310.0,73894450.0,69011860.0,70426570.0,64360172.0,
52,167.0130054745678,0.36585212,height,,,,,,,,,,,132163120.0,123899760.0,105803176.0,58077140.0,43436084.0,67776760.0,92231064.0,87955440.0,109450870.0,72557170.0,120365624.0,4672987.5,6122649.0,3704180.2,187854350.0,9089873.0,8783283.0,10119878.0,9806008.0,96458170.0,78577250.0,88307300.0,87224530.0,88232230.0,81589970.0,
