formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C5H8FeN2O3	[M - H2O + H]+	C5H7FeN2O2+	0.635	0.333	41.549	34.289	7.260	14	0.835	1.423	1.423	-99509.990		180.990	19	0.311	707603131252191283	707602754335227903	27	
1	CH6AsFNO7	[M + K]+	CH6AsFKNO7+	0.980	0.965	80.768	80.768	0.000	19	0.411	-0.093	0.425	-2.544		276.897	19	0.311	707603143956738526	707602755203448911	47	
1	C5H8Cl2NO3	[M - H2O + H]+	C5H7Cl2NO2+	0.667	0.333	62.354	59.673	2.680	10	0.809	3.685	3.685	-98423.152		182.985	19	0.311	707603134225952923	707602754372976643	28	
1	C5H9Cl2NO4	[M - H2O + H]+	C5H8Cl2NO3+	0.999	0.333	104.148	104.148	0.000	18	0.572	3.444	3.776	-90055.774		199.988	19	0.312	707603140941033867	707602755165700171	46	
1	C4H9Cl2NO3	[M - H2O + H]+	C4H8Cl2NO2+	1.000	0.333	50.953	50.953	0.000	9	0.407	3.629	3.830	-104714.294		171.993	19	0.312	707603136486682835	707602755346055259	50	
1	C3H7Cl2N3O3	[M - H2O + H]+	C3H6Cl2N3O2+	0.785	0.295	88.226	88.226	0.000	15	0.608	1.484	3.187	-96837.097		185.984	19	0.313	707603147232490224	707602754041626599	21	
1	CH5ClFNO3P	[M + Na]+	CH5ClFNNaO3P+	1.000	1.000	121.952	121.952	0.000	27	0.474	3.892	4.104	-3.697		186.956	19	0.316	707603159651825166	707602755123757127	45	
1	C4H8Cl2NO2	[M - H2O + H]+	C4H7Cl2NO+	1.000	0.099	12.164	9.686	2.478	1	0.588	2.964	2.964	-116200.936		154.990	19	0.318	707603130853732389	707602754247147511	25	
1	C6H5NOSi	[M + Na]+	C6H5NNaOSi+	0.998	0.999	25.248	25.248	0.000	5	0.154	-1.314	1.625	-0.639		158.003	19	0.319	707603143193375157	707602753232125891	12	
1	C3H3Cl2O2	[M + H]+	C3H4Cl2O2+	0.599	0.486	21.674	19.960	1.715	2	0.421	4.974	4.974	3.690		141.959	19	0.324	707603140643238267	707602754897264691	40	
1	C3H6Cl2O4	[M - H2O + H]+	C3H5Cl2O3+	1.000	0.481	67.953	67.953	0.000	10	0.652	4.105	4.105	-113297.813		158.962	19	0.324	707603137866608916	707602755035676735	43	
1	C3H3F2NO	[M + Na]+	C3H3F2NNaO+	0.997	0.999	12.622	12.622	0.000	3	0.005	6.080	6.717	5.455		130.008	20	0.330	707603136495071457	707602753089519547	10	
1	C4H6Cl2FNO5S	[M - H2O + H]+	C4H5Cl2FNO4S+	1.000	0.264	36.479	36.479	0.000	11	0.207	3.178	3.508	-71490.067		251.930	20	0.337	707603157592421749	707602753966129123	20	
1	C8H4FNO2	[M - H2O + H]+	C8H3FNO+	0.850	0.483	19.743	19.743	0.000	2	0.230	-4.659	4.659	-121681.732		148.019	20	0.338	707603133718442121	707602753156628415	11	
1	C4H6F2N2	[M + Na]+	C4H6F2N2Na+	0.956	0.956	2.799	2.799	0.000	1	0.000	5.729	5.729	4.577		143.040	20	0.340	707603130266529789	707602753374732231	13	
1	C2H4Cl2O2	[M + H]+	C2H5Cl2O2+	1.000	0.436	16.620	16.620	0.000	2	0.602	3.295	3.295	3.885		130.967	20	0.340	707603146481709727	707602754989539387	42	
1	C3H6Cl2O4	[M + H]+	C3H7Cl2O4+	1.000	0.000	54.790	54.790	0.000	7	0.448	3.000	3.000	3.246		176.972	21	0.343	707603153788187701	707602755081814083	44	
1	C4H6Cl2FNO6	[M - H2O + H]+	C4H5Cl2FNO5+	0.835	0.000	17.337	17.337	0.000	8	0.050	2.731	2.996	-76332.292		235.952	21	0.344	707603157588227432	707602753525727179	14	
1	C7H16N2	[M + H3N + H]+	C7H20N3+	1.000	0.500	52.311	49.192	3.119	5	0.303	5.427	5.427	1.204		146.165	21	0.348	707603144023847403	707602753601224655	15	
1	C8H18N2	[M + H3N + H]+	C8H22N3+	0.998	0.500	37.646	34.981	2.665	3	0.605	2.892	2.892	0.973		160.181	21	0.349	707603145219224095	707602753672527827	16	
1	C7H18N2O	[M - H2O + H]+	C7H17N2+	0.929	0.333	62.848	60.056	2.792	10	0.760	7.819	7.819	-139464.657		129.139	21	0.351	707603130723708960	707602753861271519	19	
1	C7H10Br2Cl5NO4	[M + H]+	C7H11Br2Cl5NO4+	0.412	0.448	37.119	37.119	0.000	9	0.680	-1.362	1.420	-0.053		505.749	21	0.358	707603139850514781	707602754100346859	22	
1	C3H6BrClFNO4S	[M + H]+	C3H7BrClFNO4S+	0.985	0.500	57.999	57.504	0.495	15	0.600	-1.358	1.358	-3.928		285.894	21	0.358	707603143474393540	707602754733686819	36	
1	C3H5FeNO3	[M - H2O + H]+	C3H4FeNO2+	0.646	0.333	39.519	32.311	7.208	4	0.446	5.846	5.846	-128679.730		139.963	21	0.358	707603146355880577	707602754201010163	24	
1	C5H6AsNO7	[M + K]+	C5H6AsKNO7+	1.000	1.000	49.002	46.642	2.359	19	0.819	-0.438	0.550	1.304		305.900	21	0.358	707603148721468235	707602754813378603	38	
1	C3H8AsFN2O6	[M + K]+	C3H8AsFKN2O6+	0.994	0.692	48.145	47.310	0.834	13	0.691	-0.341	0.558	-2.704		300.921	21	0.358	707603149757461342	707602754771435559	37	
1	C5H9BrClFN2O4S	[M + H]+	C5H10BrClFN2O4S+	0.884	0.271	23.913	23.187	0.726	14	0.805	-1.198	1.198	-3.310		326.920	21	0.358	707603152248878019	707602754582691859	32	
